ucode,batch,taxable_amount,total_amount,date,location,date_span,gdnreturndate,invoice_no,dispatching_branch,transactionno,transactiontype,medicinename,hsncode,qty,pack_quantity,gst,epr,purchase_rate,taxamount,flag,warehouseid,invoice,linenum,postingdate,gdndate,itemtypeid,txt,currencycode,department,profitcentre,segment,warehousegstnumber,customerid,customergstnumber,company,wareshouse_city_id,vendor_city_id,credit_note_number,e_invoicing_irn_number,e_invoicing_date,debitnote_status,dest_company,report_type,eway_bill_needed,einvoice_needed,gst_state,customer_status,original invoice no,original invoice,igst_value,cgst_value,sgst_value,posting profile,customer_pdi,dt
C69060,BB5031,788.2,882.784,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,T0223-25A0002802,THREPSI SOLUTIONS PVT LTD - (MR-GGN),70645,GDN Return Mercury,GLYCOFLO NEB 25MCG 2ML PACKET OF 5 TRANSPULES,300490,20,1,12,39.41,39.41,94.58,ICS,th223,T0223-25A000280270645,43992,2025-06-27,2025-06-13,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th224,06AAHCT1527F1ZK,AWPSPL,,13,,,,,TSPL,GDN_RETURN_OTHERS,1,1,06-Haryana,RP,T0223-25A0002802,2025-06-13,0,47.29,47.29,MSPP,3440,2025-06-27
53950,N500068,13.4,15.008,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,T0223-25A0002434,THREPSI SOLUTIONS PVT LTD - (MR-GGN),70688,GDN Return Mercury,DERIPHYLLIN AMPOULE OF 2ML INJECTION,300490,2,1,12,6.7,6.7,1.61,ICS,th223,T0223-25A000243470688,4524,2025-06-27,2025-06-03,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th224,06AAHCT1527F1ZK,AWPSPL,,13,,,,,TSPL,GDN_RETURN_OTHERS,1,1,06-Haryana,RP,T0223-25A0002434,2025-06-03,0,0.8,0.8,MSPP,3440,2025-06-27
31625,JKAZ23009,34.478,34.478,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,DR0425-25A000056,SACHDEVA MEDICALS (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-LKO-TRN),70700,GDN Return Mercury,CALCIROL 60000 IU SACHET 1GM,30049031,1,1 G,0,34.48,34.478,0,NORMAL,th223,DR0425-25A00005670700,2623,2025-06-27,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th425,09AASCA3306L1ZC,AWPSPL,,2862,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,37923,2025-06-27
U10951,PEGS0025,1076.16,1076.16,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,DR0425-25A000057,SACHDEVA MEDICALS (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-LKO-TRN),70701,GDN Return Mercury,PETRIL PLUS STRIP OF 15 TABLETS,30049079,6,15 UNITS,0,179.36,179.36,0,NORMAL,th223,DR0425-25A00005770701,77507,2025-06-27,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th425,09AASCA3306L1ZC,AWPSPL,,2862,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,37923,2025-06-27
242794,BPL233706,173.58,173.58,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,DR0425-25A000058,SACHDEVA MEDICALS (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-LKO-TRN),70703,GDN Return Mercury,TELVAS BETA 50MG STRIP OF 10 TABLETS,30049079,2,10 UNITS,0,86.79,86.79,0,NORMAL,th223,DR0425-25A00005870703,36938,2025-06-27,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th425,09AASCA3306L1ZC,AWPSPL,,2862,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,37923,2025-06-27
I12716,OS82014,122.14,122.14,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,DR0425-25A000058,SACHDEVA MEDICALS (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-LKO-TRN),70703,GDN Return Mercury,PROSTAGARD 8MG STRIP OF 10 CAPSULES,30049099,1,10 UNITS,0,122.14,122.14,0,NORMAL,th223,DR0425-25A00005870703,57082,2025-06-27,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th425,09AASCA3306L1ZC,AWPSPL,,2862,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,37923,2025-06-27
38155,5C10139,4.35,4.872,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,DR0425-25A000059,SACHDEVA MEDICALS (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-LKO-TRN),70704,GDN Return Mercury,CETCIP 10MG STRIP OF 10 TABLETS,30049031,1,10 UNITS,12,4.35,4.35,0.52,NORMAL,th223,DR0425-25A00005970704,6405,2025-06-27,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th425,09AASCA3306L1ZC,AWPSPL,,2862,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0.52,0,0,MSPP,37923,2025-06-27
79760,4Q593,22.95,25.704,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,DR0425-25A000059,SACHDEVA MEDICALS (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-LKO-TRN),70704,GDN Return Mercury,FOURDERM TUBE OF 10GM CREAM,30049011,1,10.0 G,12,22.95,22.95,2.75,NORMAL,th223,DR0425-25A00005970704,9899,2025-06-27,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th425,09AASCA3306L1ZC,AWPSPL,,2862,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,2.75,0,0,MSPP,37923,2025-06-27
198077,G1334022,10.1,11.312,2025-06-27,Gurgaon_DCAM,Jun-2025,2025-06-27,DR0425-25A000059,SACHDEVA MEDICALS (A U/O ASCENT WELLNESS & PHARMA SOLUTIONS PVT LTD) (MR-LKO-TRN),70704,GDN Return Mercury,SPASMONIL PLUS STRIP OF 10 TABLETS,30049069,1,10 UNITS,12,10.1,10.1,1.21,NORMAL,th223,DR0425-25A00005970704,23179,2025-06-27,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th425,09AASCA3306L1ZC,AWPSPL,,2862,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,1.21,0,0,MSPP,37923,2025-06-27
I03746,23135,646.78,646.78,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A008740,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70844,GDN Return Mercury,DEFICURE 300 STRIP OF 10 TABLETS,21069099,1,10 UNITS,0,646.78,646.78,0,NORMAL,th223,PD0428-24A00874070844,46407,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
V26011,RBT23040,653.79,653.79,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A008739,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70845,GDN Return Mercury,BIOCOLTIS STRIP OF 10 TABLETS,21069099,3,10 UNITS,0,217.93,217.93,0,NORMAL,th223,PD0428-24A00873970845,67381,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
M83236,GTE0812A,372.858,372.858,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A008737,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70851,GDN Return Mercury,PARKITIDIN ER 193MG STRIP OF 10 TABLETS,30049099,2,10 UNITS,0,186.43,186.429,0,NORMAL,th223,PD0428-24A00873770851,59904,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
226686,MKH2201,231.42,231.42,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A008381,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70856,GDN Return Mercury,MEXT 15MG STRIP OF 10 TABLETS,30049042,1,10 UNITS,0,231.42,231.42,0,NORMAL,th223,PD0428-24A00838170856,24568,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
223335,GKD1760A,176.786,176.786,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A009426,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70858,GDN Return Mercury,PRASITA 10MG STRIP OF 10 TABLETS,30049099,1,10 UNITS,0,176.79,176.786,0,NORMAL,th223,PD0428-24A00942670858,23681,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
I10023,ST-240514,190,190,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A009411,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70861,GDN Return Mercury,KETOART STRIP OF 10 TABLETS,30049044,1,10 UNITS,0,190,190,0,NORMAL,th223,PD0428-24A00941170861,48273,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
165010,GKD0195A,144.066,144.066,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A009924,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70864,GDN Return Mercury,SUMINAT 25MG STRIP OF 1 TABLET,30049099,6,1 UNITS,0,24.01,24.011,0,NORMAL,th223,PD0428-24A00992470864,14599,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
X09571,DLB001C,128.57,128.57,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A008741,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70873,GDN Return Mercury,DIOVOL MINT FLAVOUR SUGAR FREE SOLUTION 400ML,30049032,1,400 ML,0,128.57,128.57,0,NORMAL,th223,PD0428-24A00874170873,69010,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
136995,GKD0174A,105.429,105.429,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A008743,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70879,GDN Return Mercury,PAXIDEP CR 12.5MG STRIP OF 10 TABLETS,30049099,1,10 UNITS,0,105.43,105.429,0,NORMAL,th223,PD0428-24A00874370879,12243,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
329619,ZLA23020,91.9,91.9,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A008961,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70881,GDN Return Mercury,ZOLFRESH 10MG STRIP OF 15 TABLETS,30049082,1,15 UNITS,0,91.9,91.9,0,NORMAL,th223,PD0428-24A00896170881,35010,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
289825,WMVJ023,79.07,79.07,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A009998,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70885,GDN Return Mercury,VOGLINORM GM 2/0.3MG STRIP OF 10 TABLETS,30043190,1,10 UNITS,0,79.07,79.07,0,NORMAL,th223,PD0428-24A00999870885,34442,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
180772,F65X002,69.15,69.15,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A007718,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70888,GDN Return Mercury,VERTISTAR MD 16MG STRIP OF 10 TABLETS,30049099,1,10 UNITS,0,69.15,69.15,0,NORMAL,th223,PD0428-24A00771870888,16061,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
43326,SF02-040,80.54,80.54,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A009821,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70893,GDN Return Mercury,CLIN 3 SOAP,34011190,1,75 G,0,80.54,80.54,0,NORMAL,th223,PD0428-24A00982170893,2966,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
I04558,SID0934A,65.732,65.732,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A008742,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70897,GDN Return Mercury,AZTOR 10MG STRIP OF 15 TABLETS,30049099,1,15 UNITS,0,65.73,65.732,0,NORMAL,th223,PD0428-24A00874270897,46811,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
I00181,FHA0447,39.857,39.857,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A008736,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70902,GDN Return Mercury,AZTOGOLD 10 STRIP OF 10 CAPSULES,30049099,1,10 UNITS,0,39.86,39.857,0,NORMAL,th223,PD0428-24A00873670902,43237,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
142130,SIC3219A,34.714,34.714,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A009428,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70929,GDN Return Mercury,PREDMET 4MG STRIP OF 10 TABLETS,30043919,1,10 UNITS,0,34.71,34.714,0,NORMAL,th223,PD0428-24A00942870929,12714,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
245697,AMAS0227,17.92,17.92,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,PD0428-24A007825,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70931,GDN Return Mercury,AMLONG 2.5MG STRIP OF 15 TABLETS,30049072,1,15 UNITS,0,17.92,17.92,0,NORMAL,th223,PD0428-24A00782570931,28020,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-06-30
118050,D240912,1144.91,1282.2992,2025-06-30,Gurgaon_DCAM,Jun-2025,2025-06-30,DR0428-25A000211,D. C. AGENCIES PVT LTD (MR-NOI-DXN),70954,GDN Return Mercury,MUCOLITE BOTTLE OF 100ML SYRUP,30049099,13,100 ML,12,88.07,88.07,137.39,NORMAL,th223,DR0428-25A00021170954,10376,2025-06-30,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,137.39,0,0,MSPP,73034,2025-06-30
74805,B113495,259.92,259.92,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000216,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71310,GDN Return Mercury,FEMILON STRIP OF 21 TABLETS,30066010,1,21 UNITS,0,259.92,259.92,0,NORMAL,th223,DR0428-25A00021671310,556370,2025-07-01,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,0,0,0,MSPP,73034,2025-07-01
190600,GTF3711A,133.07,149.0384,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000216,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71310,GDN Return Mercury,ZOSERT 100MG STRIP OF 10 TABLETS,30049079,1,10 UNITS,12,133.07,133.07,15.97,NORMAL,th223,DR0428-25A00021671310,567124,2025-07-01,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,15.97,0,0,MSPP,73034,2025-07-01
O86115,RBTP0058,48.38,54.1856,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000216,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71310,GDN Return Mercury,RISPOND 2 STRIP OF 15 TABLETS,30049099,1,15 UNITS,12,48.38,48.38,5.81,NORMAL,th223,DR0428-25A00021671310,609178,2025-07-01,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,5.81,0,0,MSPP,73034,2025-07-01
75480,ZLE3AF3007-,133.5,149.52,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000218,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71313,GDN Return Mercury,FERONIA XT DROPS 15ML,30045010,2,1,12,66.75,66.75,16.02,NORMAL,th223,DR0428-25A00021871313,471111,2025-07-01,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,16.02,0,0,MSPP,73034,2025-07-01
121975,SID2876A-,120.22,134.6464,2025-07-01,Gurgaon_DCAM,Jul-2025,2025-07-01,DR0428-25A000218,D. C. AGENCIES PVT LTD (MR-NOI-DXN),71313,GDN Return Mercury,NEUGABA 75MG STRIP OF 10 CAPSULES,30049082,1,1,12,120.22,120.22,14.43,NORMAL,th223,DR0428-25A00021871313,475831,2025-07-01,,Medicine,,INR,,B2C,Medicine,06AAFCD8004P1ZF,th428,09AAFCD8004P1Z9,AWPSPL,,6004,,,,,AWPSPL,GDN_RETURN,,,09-Uttar Pradesh,RP,,,14.43,0,0,MSPP,73034,2025-07-01
