purchase_issue_id,source_tenant,updateInvoiceDetailsQuery,updateUnifiedVendorQuery,deletePurchaseIssueInvoiceQuery
860020,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860020 AND invoice_id = 60041 AND invoice_no = '4113105474';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860020 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860021,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860021 AND invoice_id = 109785 AND invoice_no = '134LS3006358';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860021 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860022,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860022 AND invoice_id = 109706 AND invoice_no = '301315305';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860022 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860023,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860023 AND invoice_id = 36057 AND invoice_no = 'P/4106';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860023 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860024,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860024 AND invoice_id = 36036 AND invoice_no = 'P/4123';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860024 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860025,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860025 AND invoice_id = 36036 AND invoice_no = 'P/4123';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860025 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860026,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860026 AND invoice_id = 36281 AND invoice_no = 'FY-24-25/BH/109';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860026 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860027,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860027 AND invoice_id = 35804 AND invoice_no = 'P/4294';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860027 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860028,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860028 AND invoice_id = 36841 AND invoice_no = 'P/4062';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860028 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860029,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860029 AND invoice_id = 16622 AND invoice_no = '4407320684';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860029 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860030,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860030 AND invoice_id = 103693 AND invoice_no = 'SD2327096455';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860030 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860031,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860031 AND invoice_id = 34333 AND invoice_no = 'SCF/24-25/00758';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860031 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860032,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860032 AND invoice_id = 109575 AND invoice_no = '6320080733';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860032 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860033,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860033 AND invoice_id = 48718 AND invoice_no = '16GTS3911';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860033 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860034,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860034 AND invoice_id = 50359 AND invoice_no = '1401054662';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860034 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860035,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860035 AND invoice_id = 53464 AND invoice_no = '3168441691';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860035 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860036,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860036 AND invoice_id = 48701 AND invoice_no = '16GTS3606';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860036 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860037,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860037 AND invoice_id = 49358 AND invoice_no = '16GTS2705';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860037 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860038,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860038 AND invoice_id = 102271 AND invoice_no = 'SNR/887';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860038 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860039,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860039 AND invoice_id = 48718 AND invoice_no = '16GTS3911';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860039 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860040,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860040 AND invoice_id = 109470 AND invoice_no = '271000909067';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860040 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860041,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860041 AND invoice_id = 48718 AND invoice_no = '16GTS3911';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860041 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860042,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860042 AND invoice_id = 39649 AND invoice_no = 'SUP/24-25/130';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860042 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860043,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860043 AND invoice_id = 104795 AND invoice_no = 'Y002133';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860043 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860044,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860044 AND invoice_id = 35048 AND invoice_no = 'FW35';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860044 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860045,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860045 AND invoice_id = 35170 AND invoice_no = 'GS001384';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860045 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860046,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860046 AND invoice_id = 37848 AND invoice_no = 'IN2724000292';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860046 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860047,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860047 AND invoice_id = 104315 AND invoice_no = 'Y001528';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860047 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860048,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860048 AND invoice_id = 53607 AND invoice_no = '3168463125';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860048 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860049,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860049 AND invoice_id = 104795 AND invoice_no = 'Y002133';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860049 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860050,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860050 AND invoice_id = 61730 AND invoice_no = '4407307676';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860050 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860051,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860051 AND invoice_id = 104315 AND invoice_no = 'Y001528';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860051 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860052,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860052 AND invoice_id = 104311 AND invoice_no = 'Y001346';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860052 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860053,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860053 AND invoice_id = 109096 AND invoice_no = '271000942073';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860053 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860054,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860054 AND invoice_id = 33539 AND invoice_no = 'MUM2425/GIS00038';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860054 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860055,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860055 AND invoice_id = 103693 AND invoice_no = 'SD2327096455';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860055 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860056,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860056 AND invoice_id = 102747 AND invoice_no = 'TI23-24/4459';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860056 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860057,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860057 AND invoice_id = 103509 AND invoice_no = 'SI2327129257';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860057 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860058,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860058 AND invoice_id = 109445 AND invoice_no = '353243504';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860058 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860059,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860059 AND invoice_id = 49909 AND invoice_no = '1401055931';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860059 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860060,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860060 AND invoice_id = 102056 AND invoice_no = 'SD2327042040';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860060 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860062,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860062 AND invoice_id = 109491 AND invoice_no = '6320107242';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860062 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860064,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860064 AND invoice_id = 43035 AND invoice_no = '134LS2006713';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860064 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860065,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860065 AND invoice_id = 109320 AND invoice_no = 'MH0200003121';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860065 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860066,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860066 AND invoice_id = 16660 AND invoice_no = '301364055';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860066 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860067,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860067 AND invoice_id = 109651 AND invoice_no = '621/22/S/2937';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860067 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860068,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860068 AND invoice_id = 109036 AND invoice_no = '6320117439';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860068 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860069,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860069 AND invoice_id = 109752 AND invoice_no = '134LS3005033';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860069 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860070,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860070 AND invoice_id = 103693 AND invoice_no = 'SD2327096455';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860070 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860071,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860071 AND invoice_id = 33148 AND invoice_no = 'EKS/670';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860071 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860072,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860072 AND invoice_id = 37611 AND invoice_no = 'MH0200029995';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860072 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860073,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860073 AND invoice_id = 105283 AND invoice_no = 'ZD2351208092';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860073 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860074,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860074 AND invoice_id = 59572 AND invoice_no = '7804';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860074 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860075,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860075 AND invoice_id = 64285 AND invoice_no = '6273222360';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860075 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
860076,th214,"UPDATE th214.purchase_issue SET updated_on = NOW(), invoice_id = NULL, invoice_no = NULL, invoice_tenant = NULL WHERE id = 860076 AND invoice_id = 104821 AND invoice_no = 'SYSTOPIC/3314';","UPDATE unified_vendor_returnable_item SET quantity = 0, updated_on = NOW(), status = 'CANCELLED' WHERE reference_id = 860076 AND reference_type = 'PURCHASE_RETURN' AND partner_detail_id = 186028 AND tenant = 'th214';",
