tenant,purchase_issue_item_id,ucode,batch,assigned_bin,return_quantity,amount,pre_purchase_issue_id,purchase_issue_id,purchase_issue_status,Tray
th402,93166,I09366,GKE1359B,PR2-R01-S01-265,3,787.21,107627,89053,DISPATCH_READY,TR-67542
th402,93324,175360,GTE1545A,PR2-R01-S01-265,4,334.52,107867,89211,DISPATCH_READY,TR-67542
th402,95335,W07339,SIE2515A,PR2-R01-S01-265,2,191.99,113568,90853,DISPATCH_READY,TR-67542
th402,95353,P26028,SIE1750A,PR2-R01-S01-008,1,173.34,113578,90871,DISPATCH_READY,TR-67542
th402,95562,Z99009,DRL24K07,,58,"3,267.49",105621,91080,READY_FOR_RACKING,
th402,95622,Z67165,TFI040923,PR2-R01-S01-136,2,776.16,112973,91140,DISPATCH_READY,TR-67542
th402,95646,281724,PNT24012ES,PR2-R01-S01-021,1,80.64,105633,91164,DISPATCH_READY,TR-67542
th402,95660,037325,M4644M2,,1,571.97,95765,91178,READY_FOR_RACKING,
th402,95717,217634,RPT24001C,PR2-R01-S01-027,1,144.36,105625,91235,DISPATCH_READY,TR-67542
th402,95726,254159,XBA0031,PR2-R01-S01-265,1,211.34,113479,91244,DISPATCH_READY,TR-67542
th402,95740,195953,355A030,PR2-R01-S01-022,1,17.78,104337,91258,DISPATCH_READY,TR-67542
th402,95805,254159,XBA0031,PR2-R01-S01-015,1,211.34,110889,91322,DISPATCH_READY,TR-67542
th402,95967,228015,8020315,,1,"4,230.24",114015,91484,READY_FOR_RACKING,
th402,95981,J10664,L0722406A,PR2-R01-S01-082,1,35.18,111193,91498,DISPATCH_READY,TR-67542
th406,19494,137315,57050MN1D,,1,726.18,9802,14133,READY_FOR_RACKING,
th406,19521,I32878,2T23031,,1,221.04,10074,14160,READY_FOR_RACKING,
th406,19529,T04782,A04384,PR1-R01-S01-013,1,568.70,10157,14168,RACKING_IN_PROGRESS,
th406,19586,271382,BT00841,PR1-R01-S01-014,1,198.90,11059,14225,RACKING_IN_PROGRESS,
th406,19636,I04958,42930453J1,,1,756.88,10590,14275,READY_FOR_RACKING,
th406,19707,I01800,3145C59900,,3,34.57,6589,14346,READY_FOR_RACKING,
th406,19765,227163,KEO2301A,,1,65.52,8934,14404,READY_FOR_RACKING,
th406,19835,170254,MTD2264A,,1,106.86,9115,14474,READY_FOR_RACKING,
th406,19348,W34462,BD0016,,2,141.59,9208,13987,READY_FOR_RACKING,
th406,19899,A07083,SCZ200323,,1,213.84,9766,14538,READY_FOR_RACKING,
th406,20187,227163,KEO2301A,,1,65.52,12689,14826,READY_FOR_RACKING,
th406,20214,B54479,4M60220,,1,10.98,7177,14853,READY_FOR_RACKING,
th407,32403,C33224,V8EIV030,PR1-R01-S01-002,20,453.00,22758,21453,DISPATCH_READY,TR-728
th407,31140,192741,GMJ72033BJ,PR1-R01-S01-025,1,27.62,20191,20399,DISPATCH_READY,TR-728
th407,31141,192741,GMJ72033BJ,PR1-R01-S01-025,1,27.62,20236,20400,DISPATCH_READY,TR-728
th407,31142,192741,GMJ72033BJ,PR1-R01-S01-025,1,27.62,20366,20401,DISPATCH_READY,TR-728
th411,281129,Z82668,GTF2694A,PR0-R03-S05-003,1,210.39,205911,200892,DISPATCH_READY,TR-35228
th411,274729,186917,GCB0003,PR0-R19-S01-001,5,651.62,203931,194501,DISPATCH_READY,TR-35229
th417,35970,U26163,A02W007,,2,76.81,24520,27824,DISPATCH_READY,TR-157
th425,436681,B31988,CD230195,,3,141.12,111582,148934,READY_FOR_RACKING,
th425,438788,069905,GEH0174,,4,"1,147.51",110814,151039,READY_FOR_RACKING,
th425,473602,223182,132823043,,1,151.58,168114,184764,READY_FOR_RACKING,
th425,473607,Q02139,PGNS0002,,11,"1,464.60",173359,184769,READY_FOR_RACKING,
th425,473616,Z62045,ZRB0055,,1,257.63,175183,184778,READY_FOR_RACKING,
th425,474443,270428,PHMAQ101,,3,357.54,175017,185604,READY_FOR_RACKING,
th425,474445,363875,V238201,,3,306.13,175178,185606,READY_FOR_RACKING,
th425,475661,O46236,PTFY0060,PR1-R01-S01-283,10,"1,266.16",169262,186711,RACKING_IN_PROGRESS,
th427,1318197,L60405,EMV231467C,,5,702.02,491338,587839,pending,
th429,38376,267475,EFT-072309,,1,16.56,11591,35385,READY_FOR_RACKING,
th429,38390,267476,EFT-062405,,1,31.00,17384,35399,READY_FOR_RACKING,
th435,754,004935,51240199,,5,288.79,,421,DISPATCH_READY,
